,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.497,31542.0,3.170416212240343e-05
1,0.02,0.497,31542.0,3.170416212240343e-05
2,0.03,0.497,31542.0,3.170416212240343e-05
3,0.04,0.497,31542.0,3.170416212240343e-05
4,0.05,0.497,31542.0,3.170416212240343e-05
5,0.06,0.497,31542.0,3.170416212240343e-05
6,0.07,0.497,31542.0,3.170416212240343e-05
7,0.08,0.497,31542.0,3.170416212240343e-05
8,0.09,0.497,31542.0,3.170416212240343e-05
9,0.1,0.497,31542.0,3.170416212240343e-05
10,0.11,0.497,31542.0,3.170416212240343e-05
11,0.12,0.497,31542.0,3.170416212240343e-05
12,0.13,0.497,31542.0,3.170416212240343e-05
13,0.14,0.497,31542.0,3.170416212240343e-05
14,0.15,0.497,31542.0,3.170416212240343e-05
15,0.16,0.497,31542.0,3.170416212240343e-05
16,0.17,0.497,31542.0,3.170416212240343e-05
17,0.18,0.497,31542.0,3.170416212240343e-05
18,0.19,0.497,31542.0,3.170416212240343e-05
19,0.2,0.497,31542.0,3.170416212240343e-05
20,0.21,0.497,31542.0,3.170416212240343e-05
21,0.22,0.497,31542.0,3.170416212240343e-05
22,0.23,0.497,31542.0,3.170416212240343e-05
23,0.24,0.497,31542.0,3.170416212240343e-05
24,0.25,0.497,31542.0,3.170416212240343e-05
25,0.26,0.497,31542.0,3.170416212240343e-05
26,0.27,0.497,31542.0,3.170416212240343e-05
27,0.28,0.497,31542.0,3.170416212240343e-05
28,0.29,0.497,31542.0,3.170416212240343e-05
29,0.3,0.497,31542.0,3.170416212240343e-05
30,0.31,0.497,31542.0,3.170416212240343e-05
31,0.32,0.497,31542.0,3.170416212240343e-05
32,0.33,0.497,31542.0,3.170416212240343e-05
33,0.34,0.497,31542.0,3.170416212240343e-05
34,0.35,0.497,31542.0,3.170416212240343e-05
35,0.36,0.497,31535.0,3.170416212240343e-05
36,0.37,0.498,31488.0,3.170416212240343e-05
37,0.38,0.498,31376.0,3.170416212240343e-05
38,0.39,0.499,31233.0,3.170416212240343e-05
39,0.4,0.5,31045.0,3.170416212240343e-05
40,0.41,0.501,30746.0,3.170416212240343e-05
41,0.42,0.502,30406.0,3.170416212240343e-05
42,0.43,0.505,29890.0,3.170416212240343e-05
43,0.44,0.51,28852.0,3.170416212240343e-05
44,0.45,0.514,27334.0,3.170416212240343e-05
45,0.46,0.52,25216.0,3.170416212240343e-05
46,0.47,0.527,22365.0,3.170416212240343e-05
47,0.48,0.537,18806.0,3.170416212240343e-05
48,0.49,0.547,15278.0,3.170416212240343e-05
49,0.5,0.554,12804.0,3.170416212240343e-05
50,0.51,0.564,10699.0,3.170416212240343e-05
51,0.52,0.571,8942.0,3.170416212240343e-05
52,0.53,0.582,7393.0,3.170416212240343e-05
53,0.54,0.588,5924.0,3.170416212240343e-05
54,0.55,0.608,4566.0,3.170416212240343e-05
55,0.56,0.617,3495.0,3.170416212240343e-05
56,0.57,0.636,2552.0,3.170416212240343e-05
57,0.58,0.649,1786.0,3.170416212240343e-05
58,0.59,0.658,1221.0,3.170416212240343e-05
59,0.6,0.663,849.0,3.170416212240343e-05
60,0.61,0.67,610.0,3.170416212240343e-05
61,0.62,0.673,440.0,3.170416212240343e-05
62,0.63,0.676,284.0,3.170416212240343e-05
63,0.64,0.701,147.0,3.170416212240343e-05
64,0.65,0.764,55.0,3.170416212240343e-05
65,0.66,0.647,17.0,3.170416212240343e-05
