,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.312,28142.0,0.12086108011683853
1,0.02,0.312,28142.0,0.12086108011683853
2,0.03,0.312,28142.0,0.12086108011683853
3,0.04,0.312,28142.0,0.12086108011683853
4,0.05,0.312,28142.0,0.12086108011683853
5,0.06,0.312,28142.0,0.12086108011683853
6,0.07,0.312,28142.0,0.12086108011683853
7,0.08,0.312,28142.0,0.12086108011683853
8,0.09,0.312,28142.0,0.12086108011683853
9,0.1,0.312,28142.0,0.12086108011683853
10,0.11,0.312,28142.0,0.12086108011683853
11,0.12,0.312,28142.0,0.12086108011683853
12,0.13,0.312,28142.0,0.12086108011683853
13,0.14,0.312,28142.0,0.12086108011683853
14,0.15,0.312,28142.0,0.12086108011683853
15,0.16,0.312,28142.0,0.12086108011683853
16,0.17,0.312,28142.0,0.12086108011683853
17,0.18,0.312,28142.0,0.12086108011683853
18,0.19,0.312,28140.0,0.12086108011683853
19,0.2,0.313,28103.0,0.12086108011683853
20,0.21,0.313,28018.0,0.12086108011683853
21,0.22,0.313,27906.0,0.12086108011683853
22,0.23,0.314,27675.0,0.12086108011683853
23,0.24,0.317,27165.0,0.12086108011683853
24,0.25,0.319,26372.0,0.12086108011683853
25,0.26,0.323,25242.0,0.12086108011683853
26,0.27,0.328,23428.0,0.12086108011683853
27,0.28,0.336,21070.0,0.12086108011683853
28,0.29,0.344,18194.0,0.12086108011683853
29,0.3,0.357,15190.0,0.12086108011683853
30,0.31,0.366,12706.0,0.12086108011683853
31,0.32,0.376,10447.0,0.12086108011683853
32,0.33,0.389,8330.0,0.12086108011683853
33,0.34,0.404,6359.0,0.12086108011683853
34,0.35,0.419,4812.0,0.12086108011683853
35,0.36,0.428,3785.0,0.12086108011683853
36,0.37,0.429,3044.0,0.12086108011683853
37,0.38,0.434,2552.0,0.12086108011683853
38,0.39,0.431,2147.0,0.12086108011683853
39,0.4,0.44,1818.0,0.12086108011683853
40,0.41,0.445,1526.0,0.12086108011683853
41,0.42,0.453,1215.0,0.12086108011683853
42,0.43,0.467,936.0,0.12086108011683853
43,0.44,0.484,706.0,0.12086108011683853
44,0.45,0.507,501.0,0.12086108011683853
45,0.46,0.513,345.0,0.12086108011683853
46,0.47,0.493,221.0,0.12086108011683853
47,0.48,0.512,121.0,0.12086108011683853
48,0.49,0.581,43.0,0.12086108011683853
49,0.5,0.75,16.0,0.12086108011683853
50,0.51,0.6,5.0,0.12086108011683853
