,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.208,31196.0,0.011136328665948608
1,0.02,0.208,31196.0,0.011136328665948608
2,0.03,0.208,31196.0,0.011136328665948608
3,0.04,0.208,31196.0,0.011136328665948608
4,0.05,0.208,31196.0,0.011136328665948608
5,0.06,0.208,31196.0,0.011136328665948608
6,0.07,0.208,31196.0,0.011136328665948608
7,0.08,0.208,31196.0,0.011136328665948608
8,0.09,0.208,31196.0,0.011136328665948608
9,0.1,0.208,31195.0,0.011136328665948608
10,0.11,0.208,31180.0,0.011136328665948608
11,0.12,0.208,31103.0,0.011136328665948608
12,0.13,0.209,30907.0,0.011136328665948608
13,0.14,0.21,30448.0,0.011136328665948608
14,0.15,0.212,29587.0,0.011136328665948608
15,0.16,0.215,28438.0,0.011136328665948608
16,0.17,0.218,27025.0,0.011136328665948608
17,0.18,0.223,24895.0,0.011136328665948608
18,0.19,0.231,21446.0,0.011136328665948608
19,0.2,0.243,16465.0,0.011136328665948608
20,0.21,0.257,11254.0,0.011136328665948608
21,0.22,0.264,8541.0,0.011136328665948608
22,0.23,0.273,6815.0,0.011136328665948608
23,0.24,0.284,5394.0,0.011136328665948608
24,0.25,0.291,4229.0,0.011136328665948608
25,0.26,0.301,3314.0,0.011136328665948608
26,0.27,0.318,2550.0,0.011136328665948608
27,0.28,0.323,1974.0,0.011136328665948608
28,0.29,0.338,1552.0,0.011136328665948608
29,0.3,0.35,1158.0,0.011136328665948608
30,0.31,0.365,849.0,0.011136328665948608
31,0.32,0.401,611.0,0.011136328665948608
32,0.33,0.417,441.0,0.011136328665948608
33,0.34,0.415,299.0,0.011136328665948608
34,0.35,0.41,210.0,0.011136328665948608
35,0.36,0.438,146.0,0.011136328665948608
36,0.37,0.364,88.0,0.011136328665948608
37,0.38,0.321,53.0,0.011136328665948608
38,0.39,0.323,31.0,0.011136328665948608
