,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.871,27035.0,0.1667492768526259
1,0.02,0.871,27035.0,0.1667492768526259
2,0.03,0.871,27035.0,0.1667492768526259
3,0.04,0.871,27035.0,0.1667492768526259
4,0.05,0.871,27035.0,0.1667492768526259
5,0.06,0.871,27035.0,0.1667492768526259
6,0.07,0.871,27035.0,0.1667492768526259
7,0.08,0.871,27035.0,0.1667492768526259
8,0.09,0.871,27035.0,0.1667492768526259
9,0.1,0.871,27035.0,0.1667492768526259
10,0.11,0.871,27035.0,0.1667492768526259
11,0.12,0.871,27035.0,0.1667492768526259
12,0.13,0.871,27035.0,0.1667492768526259
13,0.14,0.871,27035.0,0.1667492768526259
14,0.15,0.871,27035.0,0.1667492768526259
15,0.16,0.871,27035.0,0.1667492768526259
16,0.17,0.871,27035.0,0.1667492768526259
17,0.18,0.871,27035.0,0.1667492768526259
18,0.19,0.871,27035.0,0.1667492768526259
19,0.2,0.871,27035.0,0.1667492768526259
20,0.21,0.871,27035.0,0.1667492768526259
21,0.22,0.871,27035.0,0.1667492768526259
22,0.23,0.871,27035.0,0.1667492768526259
23,0.24,0.871,27035.0,0.1667492768526259
24,0.25,0.871,27035.0,0.1667492768526259
25,0.26,0.871,27035.0,0.1667492768526259
26,0.27,0.871,27035.0,0.1667492768526259
27,0.28,0.871,27035.0,0.1667492768526259
28,0.29,0.871,27035.0,0.1667492768526259
29,0.3,0.871,27035.0,0.1667492768526259
30,0.31,0.871,27035.0,0.1667492768526259
31,0.32,0.871,27035.0,0.1667492768526259
32,0.33,0.871,27035.0,0.1667492768526259
33,0.34,0.871,27035.0,0.1667492768526259
34,0.35,0.871,27035.0,0.1667492768526259
35,0.36,0.871,27035.0,0.1667492768526259
36,0.37,0.871,27035.0,0.1667492768526259
37,0.38,0.871,27035.0,0.1667492768526259
38,0.39,0.871,27035.0,0.1667492768526259
39,0.4,0.871,27035.0,0.1667492768526259
40,0.41,0.871,27035.0,0.1667492768526259
41,0.42,0.871,27035.0,0.1667492768526259
42,0.43,0.871,27035.0,0.1667492768526259
43,0.44,0.871,27035.0,0.1667492768526259
44,0.45,0.871,27035.0,0.1667492768526259
45,0.46,0.871,27035.0,0.1667492768526259
46,0.47,0.871,27035.0,0.1667492768526259
47,0.48,0.871,27035.0,0.1667492768526259
48,0.49,0.871,27035.0,0.1667492768526259
49,0.5,0.871,27035.0,0.1667492768526259
50,0.51,0.871,27035.0,0.1667492768526259
51,0.52,0.871,27035.0,0.1667492768526259
52,0.53,0.871,27035.0,0.1667492768526259
53,0.54,0.871,27035.0,0.1667492768526259
54,0.55,0.871,27035.0,0.1667492768526259
55,0.56,0.871,27035.0,0.1667492768526259
56,0.57,0.871,27035.0,0.1667492768526259
57,0.58,0.871,27035.0,0.1667492768526259
58,0.59,0.871,27035.0,0.1667492768526259
59,0.6,0.871,27035.0,0.1667492768526259
60,0.61,0.871,27035.0,0.1667492768526259
61,0.62,0.871,27035.0,0.1667492768526259
62,0.63,0.871,27035.0,0.1667492768526259
63,0.64,0.871,27035.0,0.1667492768526259
64,0.65,0.871,27035.0,0.1667492768526259
65,0.66,0.871,27035.0,0.1667492768526259
66,0.67,0.871,27035.0,0.1667492768526259
67,0.68,0.871,27035.0,0.1667492768526259
68,0.69,0.871,27035.0,0.1667492768526259
69,0.7,0.871,27035.0,0.1667492768526259
70,0.71,0.871,27028.0,0.1667492768526259
71,0.72,0.871,27008.0,0.1667492768526259
72,0.73,0.871,26982.0,0.1667492768526259
73,0.74,0.871,26937.0,0.1667492768526259
74,0.75,0.872,26860.0,0.1667492768526259
75,0.76,0.873,26726.0,0.1667492768526259
76,0.77,0.873,26568.0,0.1667492768526259
77,0.78,0.874,26412.0,0.1667492768526259
78,0.79,0.875,26129.0,0.1667492768526259
79,0.8,0.876,25639.0,0.1667492768526259
80,0.81,0.878,25063.0,0.1667492768526259
81,0.82,0.88,24353.0,0.1667492768526259
82,0.83,0.882,23537.0,0.1667492768526259
83,0.84,0.885,22409.0,0.1667492768526259
84,0.85,0.89,20360.0,0.1667492768526259
85,0.86,0.896,17980.0,0.1667492768526259
86,0.87,0.902,15209.0,0.1667492768526259
87,0.88,0.905,12093.0,0.1667492768526259
88,0.89,0.911,9108.0,0.1667492768526259
89,0.9,0.918,6480.0,0.1667492768526259
90,0.91,0.93,3493.0,0.1667492768526259
91,0.92,0.943,1402.0,0.1667492768526259
92,0.93,0.963,215.0,0.1667492768526259
93,0.94,0.976,41.0,0.1667492768526259
