,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.812,25470.0,0.23842167255594818
1,0.02,0.812,25470.0,0.23842167255594818
2,0.03,0.812,25470.0,0.23842167255594818
3,0.04,0.812,25470.0,0.23842167255594818
4,0.05,0.812,25470.0,0.23842167255594818
5,0.06,0.812,25470.0,0.23842167255594818
6,0.07,0.812,25470.0,0.23842167255594818
7,0.08,0.812,25470.0,0.23842167255594818
8,0.09,0.812,25470.0,0.23842167255594818
9,0.1,0.812,25470.0,0.23842167255594818
10,0.11,0.812,25470.0,0.23842167255594818
11,0.12,0.812,25470.0,0.23842167255594818
12,0.13,0.812,25470.0,0.23842167255594818
13,0.14,0.812,25470.0,0.23842167255594818
14,0.15,0.812,25470.0,0.23842167255594818
15,0.16,0.812,25470.0,0.23842167255594818
16,0.17,0.812,25470.0,0.23842167255594818
17,0.18,0.812,25470.0,0.23842167255594818
18,0.19,0.812,25470.0,0.23842167255594818
19,0.2,0.812,25470.0,0.23842167255594818
20,0.21,0.812,25470.0,0.23842167255594818
21,0.22,0.812,25470.0,0.23842167255594818
22,0.23,0.812,25470.0,0.23842167255594818
23,0.24,0.812,25470.0,0.23842167255594818
24,0.25,0.812,25470.0,0.23842167255594818
25,0.26,0.812,25470.0,0.23842167255594818
26,0.27,0.812,25470.0,0.23842167255594818
27,0.28,0.812,25470.0,0.23842167255594818
28,0.29,0.812,25470.0,0.23842167255594818
29,0.3,0.812,25470.0,0.23842167255594818
30,0.31,0.812,25470.0,0.23842167255594818
31,0.32,0.812,25470.0,0.23842167255594818
32,0.33,0.812,25470.0,0.23842167255594818
33,0.34,0.812,25470.0,0.23842167255594818
34,0.35,0.812,25470.0,0.23842167255594818
35,0.36,0.812,25470.0,0.23842167255594818
36,0.37,0.812,25470.0,0.23842167255594818
37,0.38,0.812,25470.0,0.23842167255594818
38,0.39,0.812,25470.0,0.23842167255594818
39,0.4,0.812,25470.0,0.23842167255594818
40,0.41,0.812,25470.0,0.23842167255594818
41,0.42,0.812,25470.0,0.23842167255594818
42,0.43,0.812,25470.0,0.23842167255594818
43,0.44,0.812,25470.0,0.23842167255594818
44,0.45,0.812,25470.0,0.23842167255594818
45,0.46,0.812,25470.0,0.23842167255594818
46,0.47,0.812,25470.0,0.23842167255594818
47,0.48,0.812,25470.0,0.23842167255594818
48,0.49,0.812,25470.0,0.23842167255594818
49,0.5,0.812,25470.0,0.23842167255594818
50,0.51,0.812,25470.0,0.23842167255594818
51,0.52,0.812,25470.0,0.23842167255594818
52,0.53,0.812,25470.0,0.23842167255594818
53,0.54,0.812,25470.0,0.23842167255594818
54,0.55,0.812,25470.0,0.23842167255594818
55,0.56,0.812,25470.0,0.23842167255594818
56,0.57,0.812,25470.0,0.23842167255594818
57,0.58,0.812,25470.0,0.23842167255594818
58,0.59,0.812,25470.0,0.23842167255594818
59,0.6,0.812,25470.0,0.23842167255594818
60,0.61,0.812,25470.0,0.23842167255594818
61,0.62,0.812,25470.0,0.23842167255594818
62,0.63,0.812,25470.0,0.23842167255594818
63,0.64,0.813,25463.0,0.23842167255594818
64,0.65,0.813,25436.0,0.23842167255594818
65,0.66,0.813,25408.0,0.23842167255594818
66,0.67,0.813,25368.0,0.23842167255594818
67,0.68,0.814,25298.0,0.23842167255594818
68,0.69,0.814,25166.0,0.23842167255594818
69,0.7,0.815,24977.0,0.23842167255594818
70,0.71,0.817,24671.0,0.23842167255594818
71,0.72,0.818,24322.0,0.23842167255594818
72,0.73,0.819,23976.0,0.23842167255594818
73,0.74,0.821,23519.0,0.23842167255594818
74,0.75,0.823,22980.0,0.23842167255594818
75,0.76,0.825,22150.0,0.23842167255594818
76,0.77,0.828,21061.0,0.23842167255594818
77,0.78,0.833,19808.0,0.23842167255594818
78,0.79,0.838,18398.0,0.23842167255594818
79,0.8,0.846,16575.0,0.23842167255594818
80,0.81,0.849,14378.0,0.23842167255594818
81,0.82,0.856,12024.0,0.23842167255594818
82,0.83,0.863,9878.0,0.23842167255594818
83,0.84,0.868,7888.0,0.23842167255594818
84,0.85,0.876,5988.0,0.23842167255594818
85,0.86,0.889,4013.0,0.23842167255594818
86,0.87,0.902,1957.0,0.23842167255594818
87,0.88,0.938,747.0,0.23842167255594818
88,0.89,0.957,208.0,0.23842167255594818
89,0.9,0.952,21.0,0.23842167255594818
