,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.413,31289.0,0.008105084854102081
1,0.02,0.413,31289.0,0.008105084854102081
2,0.03,0.413,31289.0,0.008105084854102081
3,0.04,0.413,31289.0,0.008105084854102081
4,0.05,0.413,31289.0,0.008105084854102081
5,0.06,0.413,31289.0,0.008105084854102081
6,0.07,0.413,31289.0,0.008105084854102081
7,0.08,0.413,31289.0,0.008105084854102081
8,0.09,0.413,31289.0,0.008105084854102081
9,0.1,0.413,31289.0,0.008105084854102081
10,0.11,0.413,31289.0,0.008105084854102081
11,0.12,0.413,31289.0,0.008105084854102081
12,0.13,0.413,31289.0,0.008105084854102081
13,0.14,0.413,31289.0,0.008105084854102081
14,0.15,0.413,31289.0,0.008105084854102081
15,0.16,0.413,31289.0,0.008105084854102081
16,0.17,0.413,31289.0,0.008105084854102081
17,0.18,0.413,31289.0,0.008105084854102081
18,0.19,0.413,31289.0,0.008105084854102081
19,0.2,0.413,31289.0,0.008105084854102081
20,0.21,0.413,31289.0,0.008105084854102081
21,0.22,0.413,31289.0,0.008105084854102081
22,0.23,0.413,31289.0,0.008105084854102081
23,0.24,0.413,31289.0,0.008105084854102081
24,0.25,0.413,31289.0,0.008105084854102081
25,0.26,0.413,31289.0,0.008105084854102081
26,0.27,0.413,31289.0,0.008105084854102081
27,0.28,0.413,31260.0,0.008105084854102081
28,0.29,0.414,31187.0,0.008105084854102081
29,0.3,0.414,31056.0,0.008105084854102081
30,0.31,0.415,30892.0,0.008105084854102081
31,0.32,0.416,30622.0,0.008105084854102081
32,0.33,0.417,30306.0,0.008105084854102081
33,0.34,0.418,29859.0,0.008105084854102081
34,0.35,0.421,29234.0,0.008105084854102081
35,0.36,0.424,28265.0,0.008105084854102081
36,0.37,0.428,26825.0,0.008105084854102081
37,0.38,0.434,24720.0,0.008105084854102081
38,0.39,0.442,21973.0,0.008105084854102081
39,0.4,0.45,19019.0,0.008105084854102081
40,0.41,0.456,15963.0,0.008105084854102081
41,0.42,0.468,12710.0,0.008105084854102081
42,0.43,0.479,9721.0,0.008105084854102081
43,0.44,0.496,7384.0,0.008105084854102081
44,0.45,0.507,5687.0,0.008105084854102081
45,0.46,0.516,4463.0,0.008105084854102081
46,0.47,0.532,3385.0,0.008105084854102081
47,0.48,0.545,2506.0,0.008105084854102081
48,0.49,0.55,1766.0,0.008105084854102081
49,0.5,0.551,1234.0,0.008105084854102081
50,0.51,0.572,817.0,0.008105084854102081
51,0.52,0.586,548.0,0.008105084854102081
52,0.53,0.602,334.0,0.008105084854102081
53,0.54,0.609,174.0,0.008105084854102081
54,0.55,0.657,67.0,0.008105084854102081
55,0.56,0.579,19.0,0.008105084854102081
