,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.143,30480.0,0.0348689952033806
1,0.02,0.143,30480.0,0.0348689952033806
2,0.03,0.143,30480.0,0.0348689952033806
3,0.04,0.143,30480.0,0.0348689952033806
4,0.05,0.143,30480.0,0.0348689952033806
5,0.06,0.143,30479.0,0.0348689952033806
6,0.07,0.143,30460.0,0.0348689952033806
7,0.08,0.144,30325.0,0.0348689952033806
8,0.09,0.145,29907.0,0.0348689952033806
9,0.1,0.147,28932.0,0.0348689952033806
10,0.11,0.15,27052.0,0.0348689952033806
11,0.12,0.156,24331.0,0.0348689952033806
12,0.13,0.163,19895.0,0.0348689952033806
13,0.14,0.177,13892.0,0.0348689952033806
14,0.15,0.192,8910.0,0.0348689952033806
15,0.16,0.206,6313.0,0.0348689952033806
16,0.17,0.218,4657.0,0.0348689952033806
17,0.18,0.24,3377.0,0.0348689952033806
18,0.19,0.249,2483.0,0.0348689952033806
19,0.2,0.258,1892.0,0.0348689952033806
20,0.21,0.261,1521.0,0.0348689952033806
21,0.22,0.261,1194.0,0.0348689952033806
22,0.23,0.272,941.0,0.0348689952033806
23,0.24,0.278,669.0,0.0348689952033806
24,0.25,0.278,539.0,0.0348689952033806
25,0.26,0.284,416.0,0.0348689952033806
26,0.27,0.294,279.0,0.0348689952033806
27,0.28,0.356,135.0,0.0348689952033806
28,0.29,0.449,69.0,0.0348689952033806
29,0.3,0.479,48.0,0.0348689952033806
30,0.31,0.355,31.0,0.0348689952033806
31,0.32,0.455,11.0,0.0348689952033806
32,0.33,0.8,5.0,0.0348689952033806
