,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.592,25095.0,0.25696774553482477
1,0.02,0.592,25095.0,0.25696774553482477
2,0.03,0.592,25095.0,0.25696774553482477
3,0.04,0.592,25095.0,0.25696774553482477
4,0.05,0.592,25095.0,0.25696774553482477
5,0.06,0.592,25095.0,0.25696774553482477
6,0.07,0.592,25095.0,0.25696774553482477
7,0.08,0.592,25095.0,0.25696774553482477
8,0.09,0.592,25095.0,0.25696774553482477
9,0.1,0.592,25095.0,0.25696774553482477
10,0.11,0.592,25095.0,0.25696774553482477
11,0.12,0.592,25095.0,0.25696774553482477
12,0.13,0.592,25095.0,0.25696774553482477
13,0.14,0.592,25095.0,0.25696774553482477
14,0.15,0.592,25095.0,0.25696774553482477
15,0.16,0.592,25095.0,0.25696774553482477
16,0.17,0.592,25095.0,0.25696774553482477
17,0.18,0.592,25095.0,0.25696774553482477
18,0.19,0.592,25095.0,0.25696774553482477
19,0.2,0.592,25095.0,0.25696774553482477
20,0.21,0.592,25095.0,0.25696774553482477
21,0.22,0.592,25095.0,0.25696774553482477
22,0.23,0.592,25095.0,0.25696774553482477
23,0.24,0.592,25095.0,0.25696774553482477
24,0.25,0.592,25095.0,0.25696774553482477
25,0.26,0.592,25095.0,0.25696774553482477
26,0.27,0.592,25095.0,0.25696774553482477
27,0.28,0.592,25095.0,0.25696774553482477
28,0.29,0.592,25095.0,0.25696774553482477
29,0.3,0.592,25095.0,0.25696774553482477
30,0.31,0.592,25095.0,0.25696774553482477
31,0.32,0.592,25095.0,0.25696774553482477
32,0.33,0.592,25095.0,0.25696774553482477
33,0.34,0.592,25095.0,0.25696774553482477
34,0.35,0.592,25095.0,0.25696774553482477
35,0.36,0.592,25095.0,0.25696774553482477
36,0.37,0.592,25095.0,0.25696774553482477
37,0.38,0.592,25095.0,0.25696774553482477
38,0.39,0.592,25095.0,0.25696774553482477
39,0.4,0.592,25095.0,0.25696774553482477
40,0.41,0.592,25095.0,0.25696774553482477
41,0.42,0.592,25095.0,0.25696774553482477
42,0.43,0.592,25095.0,0.25696774553482477
43,0.44,0.592,25095.0,0.25696774553482477
44,0.45,0.592,25095.0,0.25696774553482477
45,0.46,0.592,25066.0,0.25696774553482477
46,0.47,0.593,24993.0,0.25696774553482477
47,0.48,0.594,24886.0,0.25696774553482477
48,0.49,0.594,24739.0,0.25696774553482477
49,0.5,0.595,24546.0,0.25696774553482477
50,0.51,0.596,24290.0,0.25696774553482477
51,0.52,0.599,23794.0,0.25696774553482477
52,0.53,0.602,22922.0,0.25696774553482477
53,0.54,0.607,21607.0,0.25696774553482477
54,0.55,0.611,19945.0,0.25696774553482477
55,0.56,0.616,18118.0,0.25696774553482477
56,0.57,0.625,16198.0,0.25696774553482477
57,0.58,0.632,14049.0,0.25696774553482477
58,0.59,0.641,11833.0,0.25696774553482477
59,0.6,0.648,9947.0,0.25696774553482477
60,0.61,0.658,8216.0,0.25696774553482477
61,0.62,0.669,6675.0,0.25696774553482477
62,0.63,0.682,5336.0,0.25696774553482477
63,0.64,0.692,4216.0,0.25696774553482477
64,0.65,0.703,3247.0,0.25696774553482477
65,0.66,0.717,2373.0,0.25696774553482477
66,0.67,0.723,1701.0,0.25696774553482477
67,0.68,0.729,1210.0,0.25696774553482477
68,0.69,0.732,829.0,0.25696774553482477
69,0.7,0.745,601.0,0.25696774553482477
70,0.71,0.767,429.0,0.25696774553482477
71,0.72,0.793,304.0,0.25696774553482477
72,0.73,0.792,212.0,0.25696774553482477
73,0.74,0.789,128.0,0.25696774553482477
74,0.75,0.815,65.0,0.25696774553482477
75,0.76,0.769,13.0,0.25696774553482477
76,0.77,1.0,2.0,0.25696774553482477
77,0.78,1.0,1.0,0.25696774553482477
