,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.583,13060.0,1.4152807130386842
1,0.02,0.583,13060.0,1.4152807130386842
2,0.03,0.583,13060.0,1.4152807130386842
3,0.04,0.583,13060.0,1.4152807130386842
4,0.05,0.583,13060.0,1.4152807130386842
5,0.06,0.583,13060.0,1.4152807130386842
6,0.07,0.583,13060.0,1.4152807130386842
7,0.08,0.583,13060.0,1.4152807130386842
8,0.09,0.583,13060.0,1.4152807130386842
9,0.1,0.583,13060.0,1.4152807130386842
10,0.11,0.583,13060.0,1.4152807130386842
11,0.12,0.583,13060.0,1.4152807130386842
12,0.13,0.583,13060.0,1.4152807130386842
13,0.14,0.583,13060.0,1.4152807130386842
14,0.15,0.583,13060.0,1.4152807130386842
15,0.16,0.583,13060.0,1.4152807130386842
16,0.17,0.583,13060.0,1.4152807130386842
17,0.18,0.583,13060.0,1.4152807130386842
18,0.19,0.583,13060.0,1.4152807130386842
19,0.2,0.583,13060.0,1.4152807130386842
20,0.21,0.583,13060.0,1.4152807130386842
21,0.22,0.583,13060.0,1.4152807130386842
22,0.23,0.583,13060.0,1.4152807130386842
23,0.24,0.583,13060.0,1.4152807130386842
24,0.25,0.583,13060.0,1.4152807130386842
25,0.26,0.583,13060.0,1.4152807130386842
26,0.27,0.583,13060.0,1.4152807130386842
27,0.28,0.583,13060.0,1.4152807130386842
28,0.29,0.583,13060.0,1.4152807130386842
29,0.3,0.583,13060.0,1.4152807130386842
30,0.31,0.583,13060.0,1.4152807130386842
31,0.32,0.583,13060.0,1.4152807130386842
32,0.33,0.583,13060.0,1.4152807130386842
33,0.34,0.583,13060.0,1.4152807130386842
34,0.35,0.583,13060.0,1.4152807130386842
35,0.36,0.583,13054.0,1.4152807130386842
36,0.37,0.584,13026.0,1.4152807130386842
37,0.38,0.585,12983.0,1.4152807130386842
38,0.39,0.586,12946.0,1.4152807130386842
39,0.4,0.586,12907.0,1.4152807130386842
40,0.41,0.587,12858.0,1.4152807130386842
41,0.42,0.588,12835.0,1.4152807130386842
42,0.43,0.588,12807.0,1.4152807130386842
43,0.44,0.589,12775.0,1.4152807130386842
44,0.45,0.59,12708.0,1.4152807130386842
45,0.46,0.591,12632.0,1.4152807130386842
46,0.47,0.593,12509.0,1.4152807130386842
47,0.48,0.595,12335.0,1.4152807130386842
48,0.49,0.598,12117.0,1.4152807130386842
49,0.5,0.601,11817.0,1.4152807130386842
50,0.51,0.605,11427.0,1.4152807130386842
51,0.52,0.612,10849.0,1.4152807130386842
52,0.53,0.618,10073.0,1.4152807130386842
53,0.54,0.628,9133.0,1.4152807130386842
54,0.55,0.636,8196.0,1.4152807130386842
55,0.56,0.647,7299.0,1.4152807130386842
56,0.57,0.654,6455.0,1.4152807130386842
57,0.58,0.663,5736.0,1.4152807130386842
58,0.59,0.671,5092.0,1.4152807130386842
59,0.6,0.683,4549.0,1.4152807130386842
60,0.61,0.694,4132.0,1.4152807130386842
61,0.62,0.698,3759.0,1.4152807130386842
62,0.63,0.704,3401.0,1.4152807130386842
63,0.64,0.716,3027.0,1.4152807130386842
64,0.65,0.722,2635.0,1.4152807130386842
65,0.66,0.728,2249.0,1.4152807130386842
66,0.67,0.74,1913.0,1.4152807130386842
67,0.68,0.752,1622.0,1.4152807130386842
68,0.69,0.758,1390.0,1.4152807130386842
69,0.7,0.771,1127.0,1.4152807130386842
70,0.71,0.782,920.0,1.4152807130386842
71,0.72,0.8,736.0,1.4152807130386842
72,0.73,0.799,591.0,1.4152807130386842
73,0.74,0.808,485.0,1.4152807130386842
74,0.75,0.805,374.0,1.4152807130386842
75,0.76,0.805,297.0,1.4152807130386842
76,0.77,0.835,206.0,1.4152807130386842
77,0.78,0.843,134.0,1.4152807130386842
78,0.79,0.876,89.0,1.4152807130386842
79,0.8,0.806,36.0,1.4152807130386842
80,0.81,0.625,8.0,1.4152807130386842
