,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.512,20139.0,0.5662757093343133
1,0.02,0.512,20139.0,0.5662757093343133
2,0.03,0.512,20139.0,0.5662757093343133
3,0.04,0.512,20139.0,0.5662757093343133
4,0.05,0.512,20139.0,0.5662757093343133
5,0.06,0.512,20139.0,0.5662757093343133
6,0.07,0.512,20139.0,0.5662757093343133
7,0.08,0.512,20139.0,0.5662757093343133
8,0.09,0.512,20139.0,0.5662757093343133
9,0.1,0.512,20139.0,0.5662757093343133
10,0.11,0.512,20139.0,0.5662757093343133
11,0.12,0.512,20139.0,0.5662757093343133
12,0.13,0.512,20139.0,0.5662757093343133
13,0.14,0.512,20139.0,0.5662757093343133
14,0.15,0.512,20139.0,0.5662757093343133
15,0.16,0.512,20139.0,0.5662757093343133
16,0.17,0.512,20139.0,0.5662757093343133
17,0.18,0.512,20139.0,0.5662757093343133
18,0.19,0.512,20139.0,0.5662757093343133
19,0.2,0.512,20139.0,0.5662757093343133
20,0.21,0.512,20139.0,0.5662757093343133
21,0.22,0.512,20139.0,0.5662757093343133
22,0.23,0.512,20139.0,0.5662757093343133
23,0.24,0.512,20139.0,0.5662757093343133
24,0.25,0.512,20139.0,0.5662757093343133
25,0.26,0.512,20139.0,0.5662757093343133
26,0.27,0.512,20139.0,0.5662757093343133
27,0.28,0.512,20139.0,0.5662757093343133
28,0.29,0.512,20139.0,0.5662757093343133
29,0.3,0.512,20139.0,0.5662757093343133
30,0.31,0.512,20139.0,0.5662757093343133
31,0.32,0.512,20139.0,0.5662757093343133
32,0.33,0.512,20139.0,0.5662757093343133
33,0.34,0.512,20139.0,0.5662757093343133
34,0.35,0.512,20139.0,0.5662757093343133
35,0.36,0.512,20134.0,0.5662757093343133
36,0.37,0.512,20107.0,0.5662757093343133
37,0.38,0.513,20061.0,0.5662757093343133
38,0.39,0.513,19993.0,0.5662757093343133
39,0.4,0.515,19837.0,0.5662757093343133
40,0.41,0.516,19668.0,0.5662757093343133
41,0.42,0.518,19429.0,0.5662757093343133
42,0.43,0.521,19044.0,0.5662757093343133
43,0.44,0.524,18514.0,0.5662757093343133
44,0.45,0.528,17791.0,0.5662757093343133
45,0.46,0.533,16789.0,0.5662757093343133
46,0.47,0.54,15642.0,0.5662757093343133
47,0.48,0.549,14395.0,0.5662757093343133
48,0.49,0.556,12887.0,0.5662757093343133
49,0.5,0.566,11338.0,0.5662757093343133
50,0.51,0.578,9777.0,0.5662757093343133
51,0.52,0.59,8197.0,0.5662757093343133
52,0.53,0.599,6675.0,0.5662757093343133
53,0.54,0.611,5355.0,0.5662757093343133
54,0.55,0.623,4351.0,0.5662757093343133
55,0.56,0.637,3490.0,0.5662757093343133
56,0.57,0.642,2784.0,0.5662757093343133
57,0.58,0.648,2206.0,0.5662757093343133
58,0.59,0.668,1734.0,0.5662757093343133
59,0.6,0.676,1372.0,0.5662757093343133
60,0.61,0.672,1075.0,0.5662757093343133
61,0.62,0.68,807.0,0.5662757093343133
62,0.63,0.686,598.0,0.5662757093343133
63,0.64,0.681,467.0,0.5662757093343133
64,0.65,0.676,380.0,0.5662757093343133
65,0.66,0.686,299.0,0.5662757093343133
66,0.67,0.674,233.0,0.5662757093343133
67,0.68,0.715,172.0,0.5662757093343133
68,0.69,0.742,124.0,0.5662757093343133
69,0.7,0.75,92.0,0.5662757093343133
70,0.71,0.767,60.0,0.5662757093343133
71,0.72,0.667,36.0,0.5662757093343133
72,0.73,0.583,12.0,0.5662757093343133
73,0.74,1.0,1.0,0.5662757093343133
