,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.46,13053.0,1.416501953573891
1,0.02,0.46,13053.0,1.416501953573891
2,0.03,0.46,13053.0,1.416501953573891
3,0.04,0.46,13053.0,1.416501953573891
4,0.05,0.46,13053.0,1.416501953573891
5,0.06,0.46,13053.0,1.416501953573891
6,0.07,0.46,13053.0,1.416501953573891
7,0.08,0.46,13053.0,1.416501953573891
8,0.09,0.46,13053.0,1.416501953573891
9,0.1,0.46,13053.0,1.416501953573891
10,0.11,0.46,13053.0,1.416501953573891
11,0.12,0.46,13053.0,1.416501953573891
12,0.13,0.46,13053.0,1.416501953573891
13,0.14,0.46,13053.0,1.416501953573891
14,0.15,0.46,13053.0,1.416501953573891
15,0.16,0.46,13053.0,1.416501953573891
16,0.17,0.46,13053.0,1.416501953573891
17,0.18,0.46,13053.0,1.416501953573891
18,0.19,0.46,13053.0,1.416501953573891
19,0.2,0.46,13053.0,1.416501953573891
20,0.21,0.46,13053.0,1.416501953573891
21,0.22,0.46,13053.0,1.416501953573891
22,0.23,0.46,13053.0,1.416501953573891
23,0.24,0.46,13053.0,1.416501953573891
24,0.25,0.46,13053.0,1.416501953573891
25,0.26,0.46,13053.0,1.416501953573891
26,0.27,0.46,13053.0,1.416501953573891
27,0.28,0.46,13050.0,1.416501953573891
28,0.29,0.461,13031.0,1.416501953573891
29,0.3,0.461,13008.0,1.416501953573891
30,0.31,0.463,12945.0,1.416501953573891
31,0.32,0.465,12854.0,1.416501953573891
32,0.33,0.466,12774.0,1.416501953573891
33,0.34,0.469,12610.0,1.416501953573891
34,0.35,0.471,12336.0,1.416501953573891
35,0.36,0.474,12019.0,1.416501953573891
36,0.37,0.478,11580.0,1.416501953573891
37,0.38,0.482,10970.0,1.416501953573891
38,0.39,0.488,10336.0,1.416501953573891
39,0.4,0.496,9623.0,1.416501953573891
40,0.41,0.502,8926.0,1.416501953573891
41,0.42,0.507,8223.0,1.416501953573891
42,0.43,0.515,7588.0,1.416501953573891
43,0.44,0.525,6890.0,1.416501953573891
44,0.45,0.536,6271.0,1.416501953573891
45,0.46,0.544,5664.0,1.416501953573891
46,0.47,0.55,5149.0,1.416501953573891
47,0.48,0.561,4654.0,1.416501953573891
48,0.49,0.567,4263.0,1.416501953573891
49,0.5,0.572,3901.0,1.416501953573891
50,0.51,0.574,3585.0,1.416501953573891
51,0.52,0.58,3259.0,1.416501953573891
52,0.53,0.589,2952.0,1.416501953573891
53,0.54,0.596,2599.0,1.416501953573891
54,0.55,0.607,2193.0,1.416501953573891
55,0.56,0.616,1824.0,1.416501953573891
56,0.57,0.643,1475.0,1.416501953573891
57,0.58,0.663,1159.0,1.416501953573891
58,0.59,0.676,900.0,1.416501953573891
59,0.6,0.69,706.0,1.416501953573891
60,0.61,0.699,568.0,1.416501953573891
61,0.62,0.719,449.0,1.416501953573891
62,0.63,0.728,349.0,1.416501953573891
63,0.64,0.744,258.0,1.416501953573891
64,0.65,0.788,170.0,1.416501953573891
65,0.66,0.822,118.0,1.416501953573891
66,0.67,0.837,92.0,1.416501953573891
67,0.68,0.864,59.0,1.416501953573891
68,0.69,0.868,38.0,1.416501953573891
69,0.7,0.846,26.0,1.416501953573891
70,0.71,0.818,11.0,1.416501953573891
71,0.72,1.0,2.0,1.416501953573891
