,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.65,16714.0,0.8872189448240376
1,0.02,0.65,16714.0,0.8872189448240376
2,0.03,0.65,16714.0,0.8872189448240376
3,0.04,0.65,16714.0,0.8872189448240376
4,0.05,0.65,16714.0,0.8872189448240376
5,0.06,0.65,16714.0,0.8872189448240376
6,0.07,0.65,16714.0,0.8872189448240376
7,0.08,0.65,16714.0,0.8872189448240376
8,0.09,0.65,16714.0,0.8872189448240376
9,0.1,0.65,16714.0,0.8872189448240376
10,0.11,0.65,16714.0,0.8872189448240376
11,0.12,0.65,16714.0,0.8872189448240376
12,0.13,0.65,16714.0,0.8872189448240376
13,0.14,0.65,16714.0,0.8872189448240376
14,0.15,0.65,16714.0,0.8872189448240376
15,0.16,0.65,16714.0,0.8872189448240376
16,0.17,0.65,16714.0,0.8872189448240376
17,0.18,0.65,16714.0,0.8872189448240376
18,0.19,0.65,16714.0,0.8872189448240376
19,0.2,0.65,16714.0,0.8872189448240376
20,0.21,0.65,16714.0,0.8872189448240376
21,0.22,0.65,16714.0,0.8872189448240376
22,0.23,0.65,16714.0,0.8872189448240376
23,0.24,0.65,16714.0,0.8872189448240376
24,0.25,0.65,16714.0,0.8872189448240376
25,0.26,0.65,16714.0,0.8872189448240376
26,0.27,0.65,16714.0,0.8872189448240376
27,0.28,0.65,16714.0,0.8872189448240376
28,0.29,0.65,16714.0,0.8872189448240376
29,0.3,0.65,16714.0,0.8872189448240376
30,0.31,0.65,16714.0,0.8872189448240376
31,0.32,0.65,16714.0,0.8872189448240376
32,0.33,0.65,16714.0,0.8872189448240376
33,0.34,0.65,16714.0,0.8872189448240376
34,0.35,0.65,16714.0,0.8872189448240376
35,0.36,0.65,16714.0,0.8872189448240376
36,0.37,0.65,16714.0,0.8872189448240376
37,0.38,0.65,16714.0,0.8872189448240376
38,0.39,0.65,16714.0,0.8872189448240376
39,0.4,0.65,16714.0,0.8872189448240376
40,0.41,0.65,16714.0,0.8872189448240376
41,0.42,0.65,16714.0,0.8872189448240376
42,0.43,0.65,16714.0,0.8872189448240376
43,0.44,0.65,16708.0,0.8872189448240376
44,0.45,0.65,16685.0,0.8872189448240376
45,0.46,0.65,16651.0,0.8872189448240376
46,0.47,0.651,16606.0,0.8872189448240376
47,0.48,0.652,16552.0,0.8872189448240376
48,0.49,0.653,16482.0,0.8872189448240376
49,0.5,0.653,16394.0,0.8872189448240376
50,0.51,0.654,16306.0,0.8872189448240376
51,0.52,0.655,16195.0,0.8872189448240376
52,0.53,0.657,16053.0,0.8872189448240376
53,0.54,0.659,15859.0,0.8872189448240376
54,0.55,0.66,15581.0,0.8872189448240376
55,0.56,0.662,15312.0,0.8872189448240376
56,0.57,0.664,15025.0,0.8872189448240376
57,0.58,0.668,14694.0,0.8872189448240376
58,0.59,0.672,14222.0,0.8872189448240376
59,0.6,0.675,13498.0,0.8872189448240376
60,0.61,0.68,12447.0,0.8872189448240376
61,0.62,0.688,11276.0,0.8872189448240376
62,0.63,0.698,10061.0,0.8872189448240376
63,0.64,0.707,8958.0,0.8872189448240376
64,0.65,0.719,7963.0,0.8872189448240376
65,0.66,0.728,7071.0,0.8872189448240376
66,0.67,0.736,6249.0,0.8872189448240376
67,0.68,0.744,5441.0,0.8872189448240376
68,0.69,0.753,4666.0,0.8872189448240376
69,0.7,0.765,3924.0,0.8872189448240376
70,0.71,0.774,3210.0,0.8872189448240376
71,0.72,0.778,2592.0,0.8872189448240376
72,0.73,0.79,2017.0,0.8872189448240376
73,0.74,0.797,1508.0,0.8872189448240376
74,0.75,0.812,1125.0,0.8872189448240376
75,0.76,0.811,838.0,0.8872189448240376
76,0.77,0.83,606.0,0.8872189448240376
77,0.78,0.87,385.0,0.8872189448240376
78,0.79,0.883,206.0,0.8872189448240376
79,0.8,0.843,89.0,0.8872189448240376
80,0.81,0.818,22.0,0.8872189448240376
81,0.82,0.667,3.0,0.8872189448240376
