,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.647,15007.0,1.1019431709137435
1,0.02,0.647,15007.0,1.1019431709137435
2,0.03,0.647,15007.0,1.1019431709137435
3,0.04,0.647,15007.0,1.1019431709137435
4,0.05,0.647,15007.0,1.1019431709137435
5,0.06,0.647,15007.0,1.1019431709137435
6,0.07,0.647,15007.0,1.1019431709137435
7,0.08,0.647,15007.0,1.1019431709137435
8,0.09,0.647,15007.0,1.1019431709137435
9,0.1,0.647,15007.0,1.1019431709137435
10,0.11,0.647,15007.0,1.1019431709137435
11,0.12,0.647,15007.0,1.1019431709137435
12,0.13,0.647,15007.0,1.1019431709137435
13,0.14,0.647,15007.0,1.1019431709137435
14,0.15,0.647,15007.0,1.1019431709137435
15,0.16,0.647,15007.0,1.1019431709137435
16,0.17,0.647,15007.0,1.1019431709137435
17,0.18,0.647,15007.0,1.1019431709137435
18,0.19,0.647,15007.0,1.1019431709137435
19,0.2,0.647,15007.0,1.1019431709137435
20,0.21,0.647,15007.0,1.1019431709137435
21,0.22,0.647,15007.0,1.1019431709137435
22,0.23,0.647,15007.0,1.1019431709137435
23,0.24,0.647,15007.0,1.1019431709137435
24,0.25,0.647,15007.0,1.1019431709137435
25,0.26,0.647,15007.0,1.1019431709137435
26,0.27,0.647,15007.0,1.1019431709137435
27,0.28,0.647,15007.0,1.1019431709137435
28,0.29,0.647,15007.0,1.1019431709137435
29,0.3,0.647,15007.0,1.1019431709137435
30,0.31,0.647,15007.0,1.1019431709137435
31,0.32,0.647,15007.0,1.1019431709137435
32,0.33,0.647,15007.0,1.1019431709137435
33,0.34,0.647,15007.0,1.1019431709137435
34,0.35,0.647,15007.0,1.1019431709137435
35,0.36,0.647,15007.0,1.1019431709137435
36,0.37,0.647,15007.0,1.1019431709137435
37,0.38,0.647,15007.0,1.1019431709137435
38,0.39,0.647,15007.0,1.1019431709137435
39,0.4,0.647,15007.0,1.1019431709137435
40,0.41,0.647,15007.0,1.1019431709137435
41,0.42,0.647,15007.0,1.1019431709137435
42,0.43,0.647,15003.0,1.1019431709137435
43,0.44,0.647,14981.0,1.1019431709137435
44,0.45,0.648,14920.0,1.1019431709137435
45,0.46,0.649,14873.0,1.1019431709137435
46,0.47,0.65,14840.0,1.1019431709137435
47,0.48,0.651,14781.0,1.1019431709137435
48,0.49,0.652,14710.0,1.1019431709137435
49,0.5,0.653,14625.0,1.1019431709137435
50,0.51,0.654,14532.0,1.1019431709137435
51,0.52,0.656,14424.0,1.1019431709137435
52,0.53,0.657,14267.0,1.1019431709137435
53,0.54,0.66,14047.0,1.1019431709137435
54,0.55,0.662,13770.0,1.1019431709137435
55,0.56,0.664,13451.0,1.1019431709137435
56,0.57,0.666,13095.0,1.1019431709137435
57,0.58,0.668,12732.0,1.1019431709137435
58,0.59,0.673,12204.0,1.1019431709137435
59,0.6,0.68,11426.0,1.1019431709137435
60,0.61,0.688,10458.0,1.1019431709137435
61,0.62,0.692,9559.0,1.1019431709137435
62,0.63,0.698,8646.0,1.1019431709137435
63,0.64,0.708,7784.0,1.1019431709137435
64,0.65,0.713,6963.0,1.1019431709137435
65,0.66,0.717,6114.0,1.1019431709137435
66,0.67,0.722,5358.0,1.1019431709137435
67,0.68,0.73,4675.0,1.1019431709137435
68,0.69,0.741,4037.0,1.1019431709137435
69,0.7,0.754,3428.0,1.1019431709137435
70,0.71,0.76,2833.0,1.1019431709137435
71,0.72,0.772,2322.0,1.1019431709137435
72,0.73,0.778,1820.0,1.1019431709137435
73,0.74,0.786,1423.0,1.1019431709137435
74,0.75,0.802,1060.0,1.1019431709137435
75,0.76,0.819,797.0,1.1019431709137435
76,0.77,0.829,603.0,1.1019431709137435
77,0.78,0.848,448.0,1.1019431709137435
78,0.79,0.839,317.0,1.1019431709137435
79,0.8,0.855,220.0,1.1019431709137435
80,0.81,0.85,147.0,1.1019431709137435
81,0.82,0.871,62.0,1.1019431709137435
82,0.83,0.818,22.0,1.1019431709137435
83,0.84,0.667,3.0,1.1019431709137435
