,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.246,20781.0,0.5179160932041078
1,0.02,0.246,20781.0,0.5179160932041078
2,0.03,0.246,20781.0,0.5179160932041078
3,0.04,0.246,20781.0,0.5179160932041078
4,0.05,0.246,20781.0,0.5179160932041078
5,0.06,0.246,20781.0,0.5179160932041078
6,0.07,0.246,20781.0,0.5179160932041078
7,0.08,0.246,20781.0,0.5179160932041078
8,0.09,0.246,20781.0,0.5179160932041078
9,0.1,0.246,20781.0,0.5179160932041078
10,0.11,0.246,20781.0,0.5179160932041078
11,0.12,0.246,20781.0,0.5179160932041078
12,0.13,0.246,20766.0,0.5179160932041078
13,0.14,0.247,20718.0,0.5179160932041078
14,0.15,0.247,20617.0,0.5179160932041078
15,0.16,0.249,20413.0,0.5179160932041078
16,0.17,0.252,19882.0,0.5179160932041078
17,0.18,0.257,19048.0,0.5179160932041078
18,0.19,0.262,18124.0,0.5179160932041078
19,0.2,0.267,16864.0,0.5179160932041078
20,0.21,0.276,15292.0,0.5179160932041078
21,0.22,0.286,13520.0,0.5179160932041078
22,0.23,0.296,11505.0,0.5179160932041078
23,0.24,0.307,9586.0,0.5179160932041078
24,0.25,0.314,7922.0,0.5179160932041078
25,0.26,0.326,6598.0,0.5179160932041078
26,0.27,0.335,5490.0,0.5179160932041078
27,0.28,0.343,4529.0,0.5179160932041078
28,0.29,0.352,3691.0,0.5179160932041078
29,0.3,0.364,3025.0,0.5179160932041078
30,0.31,0.369,2535.0,0.5179160932041078
31,0.32,0.385,2093.0,0.5179160932041078
32,0.33,0.394,1730.0,0.5179160932041078
33,0.34,0.398,1454.0,0.5179160932041078
34,0.35,0.405,1246.0,0.5179160932041078
35,0.36,0.416,1061.0,0.5179160932041078
36,0.37,0.432,891.0,0.5179160932041078
37,0.38,0.446,751.0,0.5179160932041078
38,0.39,0.46,650.0,0.5179160932041078
39,0.4,0.459,562.0,0.5179160932041078
40,0.41,0.442,468.0,0.5179160932041078
41,0.42,0.444,383.0,0.5179160932041078
42,0.43,0.449,316.0,0.5179160932041078
43,0.44,0.453,278.0,0.5179160932041078
44,0.45,0.475,240.0,0.5179160932041078
45,0.46,0.481,208.0,0.5179160932041078
46,0.47,0.5,168.0,0.5179160932041078
47,0.48,0.5,120.0,0.5179160932041078
48,0.49,0.565,85.0,0.5179160932041078
49,0.5,0.597,67.0,0.5179160932041078
50,0.51,0.641,39.0,0.5179160932041078
51,0.52,0.714,21.0,0.5179160932041078
52,0.53,0.667,3.0,0.5179160932041078
