,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.341,18121.0,0.7406655261850891
1,0.02,0.341,18121.0,0.7406655261850891
2,0.03,0.341,18121.0,0.7406655261850891
3,0.04,0.341,18121.0,0.7406655261850891
4,0.05,0.341,18121.0,0.7406655261850891
5,0.06,0.341,18121.0,0.7406655261850891
6,0.07,0.341,18121.0,0.7406655261850891
7,0.08,0.341,18121.0,0.7406655261850891
8,0.09,0.341,18121.0,0.7406655261850891
9,0.1,0.341,18121.0,0.7406655261850891
10,0.11,0.341,18121.0,0.7406655261850891
11,0.12,0.341,18121.0,0.7406655261850891
12,0.13,0.341,18121.0,0.7406655261850891
13,0.14,0.341,18121.0,0.7406655261850891
14,0.15,0.341,18121.0,0.7406655261850891
15,0.16,0.341,18121.0,0.7406655261850891
16,0.17,0.341,18121.0,0.7406655261850891
17,0.18,0.341,18121.0,0.7406655261850891
18,0.19,0.341,18121.0,0.7406655261850891
19,0.2,0.341,18121.0,0.7406655261850891
20,0.21,0.341,18120.0,0.7406655261850891
21,0.22,0.341,18112.0,0.7406655261850891
22,0.23,0.342,18089.0,0.7406655261850891
23,0.24,0.342,18034.0,0.7406655261850891
24,0.25,0.344,17868.0,0.7406655261850891
25,0.26,0.346,17462.0,0.7406655261850891
26,0.27,0.348,16776.0,0.7406655261850891
27,0.28,0.354,15912.0,0.7406655261850891
28,0.29,0.362,14753.0,0.7406655261850891
29,0.3,0.37,13338.0,0.7406655261850891
30,0.31,0.38,11718.0,0.7406655261850891
31,0.32,0.391,10115.0,0.7406655261850891
32,0.33,0.403,8606.0,0.7406655261850891
33,0.34,0.412,7317.0,0.7406655261850891
34,0.35,0.423,6200.0,0.7406655261850891
35,0.36,0.436,5295.0,0.7406655261850891
36,0.37,0.448,4485.0,0.7406655261850891
37,0.38,0.459,3759.0,0.7406655261850891
38,0.39,0.472,3205.0,0.7406655261850891
39,0.4,0.478,2732.0,0.7406655261850891
40,0.41,0.489,2366.0,0.7406655261850891
41,0.42,0.499,2018.0,0.7406655261850891
42,0.43,0.513,1685.0,0.7406655261850891
43,0.44,0.518,1441.0,0.7406655261850891
44,0.45,0.522,1252.0,0.7406655261850891
45,0.46,0.536,1097.0,0.7406655261850891
46,0.47,0.54,953.0,0.7406655261850891
47,0.48,0.551,833.0,0.7406655261850891
48,0.49,0.562,701.0,0.7406655261850891
49,0.5,0.585,588.0,0.7406655261850891
50,0.51,0.588,481.0,0.7406655261850891
51,0.52,0.628,387.0,0.7406655261850891
52,0.53,0.633,311.0,0.7406655261850891
53,0.54,0.614,249.0,0.7406655261850891
54,0.55,0.643,199.0,0.7406655261850891
55,0.56,0.636,162.0,0.7406655261850891
56,0.57,0.63,127.0,0.7406655261850891
57,0.58,0.649,94.0,0.7406655261850891
58,0.59,0.623,61.0,0.7406655261850891
59,0.6,0.55,40.0,0.7406655261850891
60,0.61,0.542,24.0,0.7406655261850891
61,0.62,0.636,11.0,0.7406655261850891
62,0.63,0.0,1.0,0.7406655261850891
