,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.115,29958.0,0.05291513949808729
1,0.02,0.115,29958.0,0.05291513949808729
2,0.03,0.115,29958.0,0.05291513949808729
3,0.04,0.115,29958.0,0.05291513949808729
4,0.05,0.115,29920.0,0.05291513949808729
5,0.06,0.116,29791.0,0.05291513949808729
6,0.07,0.117,29338.0,0.05291513949808729
7,0.08,0.118,28311.0,0.05291513949808729
8,0.09,0.121,25809.0,0.05291513949808729
9,0.1,0.128,20932.0,0.05291513949808729
10,0.11,0.139,14413.0,0.05291513949808729
11,0.12,0.154,8822.0,0.05291513949808729
12,0.13,0.164,5698.0,0.05291513949808729
13,0.14,0.175,4044.0,0.05291513949808729
14,0.15,0.192,3066.0,0.05291513949808729
15,0.16,0.198,2480.0,0.05291513949808729
16,0.17,0.202,2045.0,0.05291513949808729
17,0.18,0.211,1759.0,0.05291513949808729
18,0.19,0.222,1465.0,0.05291513949808729
19,0.2,0.221,1175.0,0.05291513949808729
20,0.21,0.225,945.0,0.05291513949808729
21,0.22,0.222,725.0,0.05291513949808729
22,0.23,0.242,392.0,0.05291513949808729
23,0.24,0.231,229.0,0.05291513949808729
24,0.25,0.286,126.0,0.05291513949808729
25,0.26,0.386,70.0,0.05291513949808729
26,0.27,0.378,37.0,0.05291513949808729
27,0.28,0.4,20.0,0.05291513949808729
28,0.29,0.273,11.0,0.05291513949808729
29,0.3,1.0,2.0,0.05291513949808729
