,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.392,21863.0,0.44273887389653754
1,0.02,0.392,21863.0,0.44273887389653754
2,0.03,0.392,21863.0,0.44273887389653754
3,0.04,0.392,21863.0,0.44273887389653754
4,0.05,0.392,21863.0,0.44273887389653754
5,0.06,0.392,21863.0,0.44273887389653754
6,0.07,0.392,21863.0,0.44273887389653754
7,0.08,0.392,21863.0,0.44273887389653754
8,0.09,0.392,21863.0,0.44273887389653754
9,0.1,0.392,21863.0,0.44273887389653754
10,0.11,0.392,21863.0,0.44273887389653754
11,0.12,0.392,21863.0,0.44273887389653754
12,0.13,0.392,21863.0,0.44273887389653754
13,0.14,0.392,21863.0,0.44273887389653754
14,0.15,0.392,21863.0,0.44273887389653754
15,0.16,0.392,21863.0,0.44273887389653754
16,0.17,0.392,21863.0,0.44273887389653754
17,0.18,0.392,21863.0,0.44273887389653754
18,0.19,0.392,21863.0,0.44273887389653754
19,0.2,0.392,21863.0,0.44273887389653754
20,0.21,0.392,21863.0,0.44273887389653754
21,0.22,0.392,21863.0,0.44273887389653754
22,0.23,0.392,21863.0,0.44273887389653754
23,0.24,0.392,21863.0,0.44273887389653754
24,0.25,0.393,21852.0,0.44273887389653754
25,0.26,0.393,21830.0,0.44273887389653754
26,0.27,0.393,21779.0,0.44273887389653754
27,0.28,0.394,21663.0,0.44273887389653754
28,0.29,0.395,21469.0,0.44273887389653754
29,0.3,0.397,21223.0,0.44273887389653754
30,0.31,0.399,20878.0,0.44273887389653754
31,0.32,0.402,20312.0,0.44273887389653754
32,0.33,0.405,19593.0,0.44273887389653754
33,0.34,0.41,18487.0,0.44273887389653754
34,0.35,0.416,17142.0,0.44273887389653754
35,0.36,0.423,15594.0,0.44273887389653754
36,0.37,0.429,13894.0,0.44273887389653754
37,0.38,0.438,12216.0,0.44273887389653754
38,0.39,0.449,10299.0,0.44273887389653754
39,0.4,0.456,8516.0,0.44273887389653754
40,0.41,0.465,6996.0,0.44273887389653754
41,0.42,0.48,5520.0,0.44273887389653754
42,0.43,0.495,4329.0,0.44273887389653754
43,0.44,0.506,3428.0,0.44273887389653754
44,0.45,0.516,2755.0,0.44273887389653754
45,0.46,0.521,2253.0,0.44273887389653754
46,0.47,0.533,1864.0,0.44273887389653754
47,0.48,0.556,1520.0,0.44273887389653754
48,0.49,0.577,1213.0,0.44273887389653754
49,0.5,0.598,964.0,0.44273887389653754
50,0.51,0.615,782.0,0.44273887389653754
51,0.52,0.627,627.0,0.44273887389653754
52,0.53,0.619,514.0,0.44273887389653754
53,0.54,0.62,421.0,0.44273887389653754
54,0.55,0.619,360.0,0.44273887389653754
55,0.56,0.627,314.0,0.44273887389653754
56,0.57,0.623,265.0,0.44273887389653754
57,0.58,0.617,227.0,0.44273887389653754
58,0.59,0.618,186.0,0.44273887389653754
59,0.6,0.643,140.0,0.44273887389653754
60,0.61,0.658,117.0,0.44273887389653754
61,0.62,0.667,90.0,0.44273887389653754
62,0.63,0.726,62.0,0.44273887389653754
63,0.64,0.812,32.0,0.44273887389653754
64,0.65,0.889,9.0,0.44273887389653754
