,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.33,20282.0,0.5552630021892195
1,0.02,0.33,20282.0,0.5552630021892195
2,0.03,0.33,20282.0,0.5552630021892195
3,0.04,0.33,20282.0,0.5552630021892195
4,0.05,0.33,20282.0,0.5552630021892195
5,0.06,0.33,20282.0,0.5552630021892195
6,0.07,0.33,20282.0,0.5552630021892195
7,0.08,0.33,20282.0,0.5552630021892195
8,0.09,0.33,20282.0,0.5552630021892195
9,0.1,0.33,20282.0,0.5552630021892195
10,0.11,0.33,20282.0,0.5552630021892195
11,0.12,0.33,20282.0,0.5552630021892195
12,0.13,0.33,20282.0,0.5552630021892195
13,0.14,0.33,20282.0,0.5552630021892195
14,0.15,0.33,20282.0,0.5552630021892195
15,0.16,0.33,20282.0,0.5552630021892195
16,0.17,0.33,20282.0,0.5552630021892195
17,0.18,0.33,20282.0,0.5552630021892195
18,0.19,0.33,20282.0,0.5552630021892195
19,0.2,0.33,20278.0,0.5552630021892195
20,0.21,0.331,20251.0,0.5552630021892195
21,0.22,0.331,20194.0,0.5552630021892195
22,0.23,0.332,20114.0,0.5552630021892195
23,0.24,0.332,20003.0,0.5552630021892195
24,0.25,0.334,19728.0,0.5552630021892195
25,0.26,0.338,19176.0,0.5552630021892195
26,0.27,0.343,18287.0,0.5552630021892195
27,0.28,0.348,17002.0,0.5552630021892195
28,0.29,0.357,15368.0,0.5552630021892195
29,0.3,0.367,13527.0,0.5552630021892195
30,0.31,0.375,11804.0,0.5552630021892195
31,0.32,0.386,10039.0,0.5552630021892195
32,0.33,0.395,8383.0,0.5552630021892195
33,0.34,0.402,6913.0,0.5552630021892195
34,0.35,0.417,5654.0,0.5552630021892195
35,0.36,0.431,4571.0,0.5552630021892195
36,0.37,0.442,3821.0,0.5552630021892195
37,0.38,0.453,3252.0,0.5552630021892195
38,0.39,0.457,2787.0,0.5552630021892195
39,0.4,0.466,2357.0,0.5552630021892195
40,0.41,0.47,1959.0,0.5552630021892195
41,0.42,0.488,1592.0,0.5552630021892195
42,0.43,0.504,1291.0,0.5552630021892195
43,0.44,0.523,1042.0,0.5552630021892195
44,0.45,0.536,875.0,0.5552630021892195
45,0.46,0.554,745.0,0.5552630021892195
46,0.47,0.571,622.0,0.5552630021892195
47,0.48,0.575,496.0,0.5552630021892195
48,0.49,0.591,403.0,0.5552630021892195
49,0.5,0.593,334.0,0.5552630021892195
50,0.51,0.596,282.0,0.5552630021892195
51,0.52,0.597,258.0,0.5552630021892195
52,0.53,0.583,230.0,0.5552630021892195
53,0.54,0.574,190.0,0.5552630021892195
54,0.55,0.552,154.0,0.5552630021892195
55,0.56,0.575,120.0,0.5552630021892195
56,0.57,0.609,92.0,0.5552630021892195
57,0.58,0.69,58.0,0.5552630021892195
58,0.59,0.73,37.0,0.5552630021892195
59,0.6,0.7,20.0,0.5552630021892195
60,0.61,0.6,5.0,0.5552630021892195
