,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.586,16264.0,0.9394121987211018
1,0.02,0.586,16264.0,0.9394121987211018
2,0.03,0.586,16264.0,0.9394121987211018
3,0.04,0.586,16264.0,0.9394121987211018
4,0.05,0.586,16264.0,0.9394121987211018
5,0.06,0.586,16264.0,0.9394121987211018
6,0.07,0.586,16264.0,0.9394121987211018
7,0.08,0.586,16264.0,0.9394121987211018
8,0.09,0.586,16264.0,0.9394121987211018
9,0.1,0.586,16264.0,0.9394121987211018
10,0.11,0.586,16264.0,0.9394121987211018
11,0.12,0.586,16264.0,0.9394121987211018
12,0.13,0.586,16264.0,0.9394121987211018
13,0.14,0.586,16264.0,0.9394121987211018
14,0.15,0.586,16264.0,0.9394121987211018
15,0.16,0.586,16264.0,0.9394121987211018
16,0.17,0.586,16264.0,0.9394121987211018
17,0.18,0.586,16264.0,0.9394121987211018
18,0.19,0.586,16264.0,0.9394121987211018
19,0.2,0.586,16264.0,0.9394121987211018
20,0.21,0.586,16264.0,0.9394121987211018
21,0.22,0.586,16264.0,0.9394121987211018
22,0.23,0.586,16264.0,0.9394121987211018
23,0.24,0.586,16264.0,0.9394121987211018
24,0.25,0.586,16264.0,0.9394121987211018
25,0.26,0.586,16264.0,0.9394121987211018
26,0.27,0.586,16264.0,0.9394121987211018
27,0.28,0.586,16264.0,0.9394121987211018
28,0.29,0.586,16264.0,0.9394121987211018
29,0.3,0.586,16264.0,0.9394121987211018
30,0.31,0.586,16264.0,0.9394121987211018
31,0.32,0.586,16264.0,0.9394121987211018
32,0.33,0.586,16264.0,0.9394121987211018
33,0.34,0.586,16264.0,0.9394121987211018
34,0.35,0.586,16264.0,0.9394121987211018
35,0.36,0.586,16264.0,0.9394121987211018
36,0.37,0.586,16264.0,0.9394121987211018
37,0.38,0.586,16264.0,0.9394121987211018
38,0.39,0.586,16257.0,0.9394121987211018
39,0.4,0.587,16228.0,0.9394121987211018
40,0.41,0.588,16175.0,0.9394121987211018
41,0.42,0.588,16120.0,0.9394121987211018
42,0.43,0.589,16046.0,0.9394121987211018
43,0.44,0.591,15962.0,0.9394121987211018
44,0.45,0.592,15861.0,0.9394121987211018
45,0.46,0.593,15726.0,0.9394121987211018
46,0.47,0.595,15565.0,0.9394121987211018
47,0.48,0.596,15388.0,0.9394121987211018
48,0.49,0.599,15127.0,0.9394121987211018
49,0.5,0.6,14820.0,0.9394121987211018
50,0.51,0.604,14336.0,0.9394121987211018
51,0.52,0.608,13756.0,0.9394121987211018
52,0.53,0.615,12976.0,0.9394121987211018
53,0.54,0.622,12031.0,0.9394121987211018
54,0.55,0.629,11042.0,0.9394121987211018
55,0.56,0.637,10081.0,0.9394121987211018
56,0.57,0.646,9121.0,0.9394121987211018
57,0.58,0.655,8188.0,0.9394121987211018
58,0.59,0.658,7452.0,0.9394121987211018
59,0.6,0.665,6721.0,0.9394121987211018
60,0.61,0.674,6009.0,0.9394121987211018
61,0.62,0.681,5336.0,0.9394121987211018
62,0.63,0.684,4685.0,0.9394121987211018
63,0.64,0.691,4058.0,0.9394121987211018
64,0.65,0.698,3393.0,0.9394121987211018
65,0.66,0.708,2777.0,0.9394121987211018
66,0.67,0.72,2134.0,0.9394121987211018
67,0.68,0.737,1666.0,0.9394121987211018
68,0.69,0.734,1244.0,0.9394121987211018
69,0.7,0.766,867.0,0.9394121987211018
70,0.71,0.806,599.0,0.9394121987211018
71,0.72,0.824,410.0,0.9394121987211018
72,0.73,0.827,278.0,0.9394121987211018
73,0.74,0.851,174.0,0.9394121987211018
74,0.75,0.856,97.0,0.9394121987211018
75,0.76,0.907,43.0,0.9394121987211018
76,0.77,0.923,13.0,0.9394121987211018
77,0.78,1.0,1.0,0.9394121987211018
