,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.293,21873.0,0.442092461870451
1,0.02,0.293,21873.0,0.442092461870451
2,0.03,0.293,21873.0,0.442092461870451
3,0.04,0.293,21873.0,0.442092461870451
4,0.05,0.293,21873.0,0.442092461870451
5,0.06,0.293,21873.0,0.442092461870451
6,0.07,0.293,21873.0,0.442092461870451
7,0.08,0.293,21873.0,0.442092461870451
8,0.09,0.293,21873.0,0.442092461870451
9,0.1,0.293,21873.0,0.442092461870451
10,0.11,0.293,21873.0,0.442092461870451
11,0.12,0.293,21873.0,0.442092461870451
12,0.13,0.293,21873.0,0.442092461870451
13,0.14,0.293,21873.0,0.442092461870451
14,0.15,0.293,21873.0,0.442092461870451
15,0.16,0.293,21873.0,0.442092461870451
16,0.17,0.293,21873.0,0.442092461870451
17,0.18,0.293,21858.0,0.442092461870451
18,0.19,0.294,21795.0,0.442092461870451
19,0.2,0.294,21646.0,0.442092461870451
20,0.21,0.296,21300.0,0.442092461870451
21,0.22,0.298,20773.0,0.442092461870451
22,0.23,0.302,20025.0,0.442092461870451
23,0.24,0.306,18985.0,0.442092461870451
24,0.25,0.312,17511.0,0.442092461870451
25,0.26,0.321,15752.0,0.442092461870451
26,0.27,0.332,13862.0,0.442092461870451
27,0.28,0.34,11894.0,0.442092461870451
28,0.29,0.355,9713.0,0.442092461870451
29,0.3,0.368,7696.0,0.442092461870451
30,0.31,0.376,6065.0,0.442092461870451
31,0.32,0.389,4942.0,0.442092461870451
32,0.33,0.405,3962.0,0.442092461870451
33,0.34,0.414,3231.0,0.442092461870451
34,0.35,0.431,2658.0,0.442092461870451
35,0.36,0.44,2213.0,0.442092461870451
36,0.37,0.458,1835.0,0.442092461870451
37,0.38,0.464,1546.0,0.442092461870451
38,0.39,0.478,1292.0,0.442092461870451
39,0.4,0.496,1082.0,0.442092461870451
40,0.41,0.519,921.0,0.442092461870451
41,0.42,0.527,771.0,0.442092461870451
42,0.43,0.539,664.0,0.442092461870451
43,0.44,0.544,561.0,0.442092461870451
44,0.45,0.557,483.0,0.442092461870451
45,0.46,0.562,404.0,0.442092461870451
46,0.47,0.56,339.0,0.442092461870451
47,0.48,0.589,282.0,0.442092461870451
48,0.49,0.595,242.0,0.442092461870451
49,0.5,0.612,201.0,0.442092461870451
50,0.51,0.637,171.0,0.442092461870451
51,0.52,0.678,118.0,0.442092461870451
52,0.53,0.718,71.0,0.442092461870451
53,0.54,0.714,49.0,0.442092461870451
54,0.55,0.758,33.0,0.442092461870451
55,0.56,0.714,7.0,0.442092461870451
