,P(p)>,Success rate,Quantity,no_outcome
0,0.01,0.128,30229.0,0.04347567188471768
1,0.02,0.128,30229.0,0.04347567188471768
2,0.03,0.128,30229.0,0.04347567188471768
3,0.04,0.128,30229.0,0.04347567188471768
4,0.05,0.128,30226.0,0.04347567188471768
5,0.06,0.128,30200.0,0.04347567188471768
6,0.07,0.129,30039.0,0.04347567188471768
7,0.08,0.13,29549.0,0.04347567188471768
8,0.09,0.132,28607.0,0.04347567188471768
9,0.1,0.135,26739.0,0.04347567188471768
10,0.11,0.14,22951.0,0.04347567188471768
11,0.12,0.152,16808.0,0.04347567188471768
12,0.13,0.168,10597.0,0.04347567188471768
13,0.14,0.181,6646.0,0.04347567188471768
14,0.15,0.201,4711.0,0.04347567188471768
15,0.16,0.215,3547.0,0.04347567188471768
16,0.17,0.226,2764.0,0.04347567188471768
17,0.18,0.228,2229.0,0.04347567188471768
18,0.19,0.24,1825.0,0.04347567188471768
19,0.2,0.249,1491.0,0.04347567188471768
20,0.21,0.262,1215.0,0.04347567188471768
21,0.22,0.273,933.0,0.04347567188471768
22,0.23,0.283,640.0,0.04347567188471768
23,0.24,0.316,351.0,0.04347567188471768
24,0.25,0.365,167.0,0.04347567188471768
25,0.26,0.437,71.0,0.04347567188471768
26,0.27,0.553,38.0,0.04347567188471768
27,0.28,0.636,22.0,0.04347567188471768
28,0.29,0.625,8.0,0.04347567188471768
29,0.3,1.0,2.0,0.04347567188471768
